Date,Time,Download,Upload,Host,Provider
06/18/20,22:19:02,17.76,8.38,Vox Telecom (London),TalkTalk
06/18/20,22:20:09,14.28,8.84,Vox Telecom (London),TalkTalk
06/18/20,22:20:33,21.74,9.49,Vox Telecom (London),TalkTalk
06/18/20,22:20:57,22.53,9.21,Mauritius Telecom Ltd,TalkTalk
06/18/20,22:21:21,17.14,7.86,Structured Communications (London),TalkTalk
06/18/20,22:21:45,14.05,8.84,Mauritius Telecom Ltd,TalkTalk
06/18/20,22:22:08,18.24,9.25,Burstfire Networks Ltd,TalkTalk
06/18/20,22:22:32,19.26,8.80,Structured Communications (London),TalkTalk
06/18/20,22:22:56,13.76,4.60,Vox Telecom (London),TalkTalk
06/18/20,22:23:19,14.81,8.95,Vox Telecom (London),TalkTalk
06/18/20,22:23:43,16.37,8.57,Mauritius Telecom Ltd,TalkTalk
